Algorithm,Goal reached,Avg Time,Var Time,STD Time,Avg Iterations,Var Iterations,STD iterations,Avg action count,Var action count,STD action count,Avg convergence action,Var convergence actio ,STD convergence action,Shortest Path,Longest Path
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 1, gamma = 1, epsilon = 1, omega = 0.875, decay_function = polynomial_decay_normalized)",FALSE,1.6854445457458496,0.049144997,0.22168671009579113,773.8,6131.76,78.30555535848015,380231.1,1440101473,37948.66891855365,380000,1440000000,37947.33192202055,918,100002
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 1, gamma = 1, epsilon = 1, omega = 1, decay_function = polynomial_decay_normalized)",FALSE,0.9587026357650756,0.022701380058493325,0.15066977154855357,366.5,2947.25,54.288580751388224,180323.5,719973954.5,26832.330395439007,180000,720000000,26832.815729997477,39944,100002
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 1, gamma = 1, epsilon = 1, omega = 2, decay_function = polynomial_decay_normalized)",FALSE,0.273380709,0.005241443,0.072397808,19.8,0.36,0.6,10184.4,34141.03999999999,184.7729417420202,10000,0,0,6294,100002
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 1, gamma = 1, epsilon = 1, omega = 0.75, decay_function = visit_count_decay)",TRUE,5.523330951,0.2593237853499596,0.5092384366384372,2296.8,29724.359999999997,172.40754043834625,1127352.4,7352027417.039999,85743.96431842884,1127000,7361000000,85796.27032,31,39
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 1, gamma = 1, epsilon = 1, omega = 0.875, decay_function = visit_count_decay)",FALSE,2.5501864910125733,0.098904257,0.31449047259049934,901.5,5315.45,72.90713271004422,442332.7,1250568126,35363.37266452395,442000,1256000000,35440.090293338704,31,100002
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 1, gamma = 1, epsilon = 1, omega = 1, decay_function = visit_count_decay)",FALSE,1.5125079154968262,0.036471509030297965,0.1909751529134038,525.2,3081.3599999999997,55.509999099261385,258257.4,753640409.6400001,27452.511900370795,258000,756000000,27495.45416973504,573,100002
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 1, gamma = 1, epsilon = 1, omega = 2, decay_function = visit_count_decay)",FALSE,0.3555628776550293,0.008922,0.094456341,49.1,191.09,13.823530663329105,24359.5,42880870.05,6548.348650614138,24000,44000000,6633.249581,5162,100002
"Stochastic-problem (0.7 success) Q-learning (converging, alpha_zero = 1, gamma = 1, epsilon = 1, omega = 0.75, decay_rate = 1, decay_function = inverse_time_decay)",TRUE,11.008304929733276,0.31817716534214013,0.5640719505011219,4420.5,40376.85,200.93991639293571,2180215.5,9725510518,98618.00301187405,2180000,9720000000,98590.06035,55,6732
"Stochastic-problem (0.7 success) Q-learning (converging, alpha_zero = 1, gamma = 1, epsilon = 1, omega = 0.75, decay_rate = 0.1, decay_function = inverse_time_decay)",TRUE,43.78540041446686,5.1928814253306355,2.2787894648981144,19999,0,0,9863253.5,22820067.65,4777.035445755034,0,0,0,39,63
"Stochastic-problem (0.7 success) Q-learning (converging, alpha_zero = 1, gamma = 1, epsilon = 1, omega = 0.75, decay_rate = 0.01, decay_function = inverse_time_decay)",TRUE,46.48656988143921,3.1882955720987867,1.785579897987986,19999,0,0,9866144.3,16333687.41,4041.4956897168654,0,0,0,39,54
"Stochastic-problem (0.7 success) Q-learning (converging, alpha_zero = 1, gamma = 1, epsilon = 1, omega = 0.75, decay_rate = 0.001, decay_function = inverse_time_decay)",TRUE,44.28782134056091,9.842350083057008,3.1372519954662565,19999,0,0,9866026,24967396.6,4996.738596324607,0,0,0,40,67
"Stochastic-problem (0.7 success) Q-learning (converging, alpha_zero = 1, gamma = 1, epsilon = 1, omega = 0.875, decay_rate = 1, decay_function = inverse_time_decay)",TRUE,3.4648318767547606,0.2996087039121653,0.5473652381291356,1527.1,53770.490000000005,231.88464804725646,753176,12931756701,113717.8820634644,753000,12941000000,113758.5162,78,6716
"Stochastic-problem (0.7 success) Q-learning (converging, alpha_zero = 1, gamma = 1, epsilon = 1, omega = 0.875, decay_rate = 0.1, decay_function = inverse_time_decay)",TRUE,30.706469655036926,11.779447789344683,3.4321200138317836,13547.3,768611.21,876.7047450538864,6682284.9,1.87399E+11,432896.6147239893,6682000,1.87456E+11,432961.8920875139,36,30953
"Stochastic-problem (0.7 success) Q-learning (converging, alpha_zero = 1, gamma = 1, epsilon = 1, omega = 0.875, decay_rate = 0.01, decay_function = inverse_time_decay)",TRUE,48.71186723709106,0.4159862693456512,0.6449699755381263,19999,0,0,9866547.3,26888785.209999997,5185.439731594612,0,0,0,42,55
"Stochastic-problem (0.7 success) Q-learning (converging, alpha_zero = 1, gamma = 1, epsilon = 1, omega = 0.875, decay_rate = 0.001, decay_function = inverse_time_decay)",TRUE,43.49620251655578,5.033600072354669,2.243568602105732,19999,0,0,9866689,16126926,4015.8344089367033,0,0,0,32,64
"Stochastic-problem (0.7 success) Q-learning (converging, alpha_zero = 1, gamma = 1, epsilon = 1, omega = 1, decay_rate = 1, decay_function = inverse_time_decay)",FALSE,1.7198553323745727,0.21917360302934924,0.4681598050125077,644.6,11608.64,107.74339886972194,318220,2855951969,53441.10748665301,318000,2856000000,53441.55686354955,794,100002
"Stochastic-problem (0.7 success) Q-learning (converging, alpha_zero = 1, gamma = 1, epsilon = 1, omega = 1, decay_rate = 0.1, decay_function = inverse_time_decay)",TRUE,12.874715352058411,1.3660191929458219,1.1687682374815898,5830.5,87390.65,295.61909613555076,2876258.5,20881510663,144504.36209073412,2876000,20904000000,144582.15657542253,42,4566
"Stochastic-problem (0.7 success) Q-learning (converging, alpha_zero = 1, gamma = 1, epsilon = 1, omega = 1, decay_rate = 0.01, decay_function = inverse_time_decay)",TRUE,45.00737190246582,0.7237704604421197,0.8507470014299902,19999,0,0,9865906.6,13425481.64,3664.079917250714,0,0,0,42,54
"Stochastic-problem (0.7 success) Q-learning (converging, alpha_zero = 1, gamma = 1, epsilon = 1, omega = 1, decay_rate = 0.001, decay_function = inverse_time_decay)",TRUE,44.34237275123596,9.408857462861139,3.067386096151109,19999,0,0,9863617.9,35060633.29000001,5921.2020139495335,0,0,0,39,65
"Stochastic-problem (0.7 success) Q-learning (converging, alpha_zero = 1, gamma = 1, epsilon = 1, omega = 2, decay_rate = 1, decay_function = inverse_time_decay)",FALSE,0.3027836799621582,0.011301006,0.10630618919279229,40,0.2,0.4472135954999579,20322.5,21936.65,148.11026297998393,20000,0,0,5108,100002
